0.20 ,0.18 ,0.000465245,4.9729,0.940174651
0.20 ,1.38 ,1.394441533,4.9729,
0.20 ,0.86 ,0.430999567,4.9729,
0.20 ,0.78 ,0.334458038,4.9729,
0.20 ,0.95 ,0.559405405,4.9729,
0.20 ,0.19 ,0.000219536,4.9729,
0.10 ,0.06 ,0.001953109,5.4289,
0.10 ,0.07 ,0.000882324,5.4289,
0.10 ,0.06 ,0.001570544,5.4289,
0.10 ,0.03 ,0.00491957,5.4289,
0.20 ,0.17 ,0.000863451,4.9729,
0.20 ,0.18 ,0.000489474,4.9729,
0.20 ,0.17 ,0.000865415,4.9729,
0.20 ,0.17 ,0.00106342,4.9729,
0.20 ,0.35 ,0.022692777,4.9729,
0.20 ,0.19 ,0.000111356,4.9729,
0.40 ,0.39 ,0.000157917,4.1209,
0.20 ,0.18 ,0.000586918,4.9729,
0.70 ,0.39 ,0.096175689,2.9929,
0.70 ,0.68 ,0.000272327,2.9929,
0.50 ,0.47 ,0.001100877,3.7249,
0.50 ,1.14 ,0.405093403,3.7249,
0.20 ,0.16 ,0.001524504,4.9729,
0.20 ,0.19 ,5.8873E-05,4.9729,
0.20 ,0.40 ,0.041935154,4.9729,
0.20 ,0.17 ,0.000937564,4.9729,
0.10 ,0.70 ,0.36416265,5.4289,
0.10 ,0.09 ,2.57512E-05,5.4289,
0.60 ,0.56 ,0.001746866,3.3489,
0.60 ,1.10 ,0.251721498,3.3489,
1.30 ,1.27 ,0.001012049,1.2769,
3.50 ,2.00 ,2.252908812,1.1449,
3.50 ,1.70 ,3.24662376,1.1449,
3.70 ,1.82 ,3.520499189,1.6129,
3.70 ,3.68 ,0.000389764,1.6129,
3.30 ,3.33 ,0.00106887,0.7569,
3.30 ,3.31 ,0.000110373,0.7569,
2.20 ,2.16 ,0.00181077,0.0529,
2.20 ,2.16 ,0.001675693,0.0529,
3.00 ,2.98 ,0.000551252,0.3249,
3.00 ,2.94 ,0.003245187,0.3249,
2.60 ,3.60 ,1.009867381,0.0289,
2.60 ,2.53 ,0.004958893,0.0289,
2.70 ,2.99 ,0.08463393,0.0729,
2.70 ,2.63 ,0.004654209,0.0729,
3.10 ,2.89 ,0.044760503,0.4489,
3.10 ,3.02 ,0.005625057,0.4489,
5.40 ,5.32 ,0.006416768,8.8209,
5.40 ,5.27 ,0.017870409,8.8209,
7.50 ,7.39 ,0.012884983,25.7049,
7.50 ,7.41 ,0.007468344,25.7049,
5.70 ,5.65 ,0.002771387,10.6929,
5.70 ,5.63 ,0.005497061,10.6929,
6.50 ,6.43 ,0.00560789,16.5649,
6.50 ,3.95 ,6.490477293,16.5649,
5.00 ,4.96 ,0.001568114,6.6049,
5.00 ,4.93 ,0.004802448,6.6049,
4.50 ,4.45 ,0.002797838,4.2849,
4.50 ,4.46 ,0.002006723,4.2849,
3.80 ,3.75 ,0.002647968,1.8769,
4.00 ,3.94 ,0.004073891,2.4649,
4.00 ,3.90 ,0.009491302,2.4649,
6.30 ,6.29 ,0.00020902,14.9769,
6.30 ,6.23 ,0.005607361,14.9769,
5.60 ,5.56 ,0.001742589,10.0489,
3.90 ,3.87 ,0.001203532,2.1609,
2.43 ,,20.69044137,345.8474,
