5.50E+00,5.44E+00
5.50E+00,5.33E+00
2.90E+00,2.87E+00
2.90E+00,3.11E+00
2.60E+00,2.55E+00
2.60E+00,2.64E+00
3.30E+00,2.99E+00
3.30E+00,3.37E+00
4.20E+00,3.97E+00
4.20E+00,3.26E+00
3.10E+00,3.39E+00
3.10E+00,2.97E+00
5.40E+00,5.46E+00
5.40E+00,5.19E+00
1.50E+00,1.54E+00
1.50E+00,1.30E+00
2.20E+00,2.22E+00
2.20E+00,2.20E+00
1.40E+00,1.49E+00
1.40E+00,2.36E+00
2.40E+00,2.43E+00
2.40E+00,1.89E+00
2.90E+00,1.90E+00
9.00E-01,1.38E+00
9.00E-01,9.89E-01
9.00E-01,9.36E-01
9.00E-01,9.30E-01
7.00E-01,6.83E-01
7.00E-01,6.89E-01
1.20E+00,9.47E-01
1.20E+00,1.30E+00
3.60E+00,3.62E+00
1.20E+00,2.20E+00
3.00E+00,2.57E+00
3.00E+00,2.67E+00
2.60E+00,2.66E+00
2.60E+00,2.27E+00
1.70E+00,1.82E+00
1.70E+00,1.83E+00
2.30E+00,2.37E+00
2.30E+00,2.37E+00
9.00E-01,2.66E+00
9.00E-01,1.06E+00
2.70E+00,2.94E+00
2.70E+00,2.81E+00
2.70E+00,2.69E+00
2.70E+00,2.84E+00
3.00E+00,3.10E+00
3.00E+00,3.04E+00
4.10E+00,4.05E+00
4.10E+00,4.09E+00
6.90E+00,6.85E+00
6.90E+00,6.95E+00
4.00E+00,4.09E+00
4.00E+00,4.07E+00
7.10E+00,7.16E+00
7.10E+00,7.22E+00
8.70E+00,8.71E+00
8.70E+00,7.28E+00
6.80E+00,6.71E+00
6.80E+00,6.91E+00
7.20E+00,7.18E+00
7.20E+00,7.21E+00
5.70E+00,5.68E+00
5.70E+00,5.86E+00
5.30E+00,5.33E+00
